date,profile_id,month_year,year
2019-01-01,168,01-2019,2019
2019-01-02,749,01-2019,2019
2019-01-03,1148,01-2019,2019
2019-01-04,801,01-2019,2019
2019-01-05,259,01-2019,2019
2019-01-06,202,01-2019,2019
2019-01-07,960,01-2019,2019
2019-01-08,1260,01-2019,2019
2019-01-09,1332,01-2019,2019
2019-01-10,1513,01-2019,2019
2019-01-11,1266,01-2019,2019
2019-01-12,404,01-2019,2019
2019-01-13,333,01-2019,2019
2019-01-14,1094,01-2019,2019
2019-01-15,1436,01-2019,2019
2019-01-16,1371,01-2019,2019
2019-01-17,1576,01-2019,2019
2019-01-18,1278,01-2019,2019
2019-01-19,405,01-2019,2019
2019-01-20,351,01-2019,2019
2019-01-21,1664,01-2019,2019
2019-01-22,1713,01-2019,2019
2019-01-23,1761,01-2019,2019
2019-01-24,1939,01-2019,2019
2019-01-25,1416,01-2019,2019
2019-01-26,451,01-2019,2019
2019-01-27,403,01-2019,2019
2019-01-28,1583,01-2019,2019
2019-01-29,1562,01-2019,2019
2019-01-30,1796,01-2019,2019
2019-01-31,1719,01-2019,2019
2019-02-01,1373,02-2019,2019
2019-02-02,311,02-2019,2019
2019-02-03,276,02-2019,2019
2019-02-04,1319,02-2019,2019
2019-02-05,1551,02-2019,2019
2019-02-06,1542,02-2019,2019
2019-02-07,1675,02-2019,2019
2019-02-08,1525,02-2019,2019
2019-02-09,395,02-2019,2019
2019-02-10,514,02-2019,2019
2019-02-11,1328,02-2019,2019
2019-02-12,1618,02-2019,2019
2019-02-13,1788,02-2019,2019
2019-02-14,1780,02-2019,2019
2019-02-15,1532,02-2019,2019
2019-02-16,411,02-2019,2019
2019-02-17,420,02-2019,2019
2019-02-18,1207,02-2019,2019
2019-02-19,1990,02-2019,2019
2019-02-20,2063,02-2019,2019
2019-02-21,2016,02-2019,2019
2019-02-22,1787,02-2019,2019
2019-02-23,769,02-2019,2019
2019-02-24,401,02-2019,2019
2019-02-25,1457,02-2019,2019
2019-02-26,1882,02-2019,2019
2019-02-27,2057,02-2019,2019
2019-02-28,2126,02-2019,2019
2019-03-01,1610,03-2019,2019
2019-03-02,478,03-2019,2019
2019-03-03,359,03-2019,2019
2019-03-04,1738,03-2019,2019
2019-03-05,1975,03-2019,2019
2019-03-06,1949,03-2019,2019
2019-03-07,1853,03-2019,2019
2019-03-08,1393,03-2019,2019
2019-03-09,447,03-2019,2019
2019-03-10,442,03-2019,2019
2019-03-11,1704,03-2019,2019
2019-03-12,2188,03-2019,2019
2019-03-13,1837,03-2019,2019
2019-03-14,1758,03-2019,2019
2019-03-15,1723,03-2019,2019
2019-03-16,392,03-2019,2019
2019-03-17,795,03-2019,2019
2019-03-18,1776,03-2019,2019
2019-03-19,2208,03-2019,2019
2019-03-20,1875,03-2019,2019
2019-03-21,1994,03-2019,2019
2019-03-22,1568,03-2019,2019
2019-03-23,366,03-2019,2019
