date,profile_id,month_year,year
2019-06-07,1623,06-2019,2019
2019-06-08,481,06-2019,2019
2019-06-09,424,06-2019,2019
2019-06-10,1855,06-2019,2019
2019-06-11,2029,06-2019,2019
2019-06-12,2362,06-2019,2019
2019-06-13,2585,06-2019,2019
2019-06-14,1984,06-2019,2019
2019-06-15,590,06-2019,2019
2019-06-16,546,06-2019,2019
2019-06-17,2038,06-2019,2019
2019-06-18,2431,06-2019,2019
2019-06-19,2351,06-2019,2019
2019-06-20,2249,06-2019,2019
2019-06-21,2123,06-2019,2019
2019-06-22,577,06-2019,2019
2019-06-23,598,06-2019,2019
2019-06-24,2287,06-2019,2019
2019-06-25,2969,06-2019,2019
2019-06-26,2553,06-2019,2019
2019-06-27,2581,06-2019,2019
2019-06-28,2067,06-2019,2019
2019-06-29,533,06-2019,2019
2019-06-30,527,06-2019,2019
2019-07-01,2055,07-2019,2019
2019-07-02,2961,07-2019,2019
2019-07-03,2576,07-2019,2019
2019-07-04,1975,07-2019,2019
2019-07-05,1619,07-2019,2019
2019-07-06,607,07-2019,2019
2019-07-07,571,07-2019,2019
2019-07-08,2375,07-2019,2019
2019-07-09,2942,07-2019,2019
2019-07-10,2726,07-2019,2019
2019-07-11,3283,07-2019,2019
2019-07-12,2170,07-2019,2019
2019-07-13,621,07-2019,2019
2019-07-14,643,07-2019,2019
2019-07-15,2326,07-2019,2019
2019-07-16,2756,07-2019,2019
2019-07-17,2344,07-2019,2019
2019-07-18,2916,07-2019,2019
2019-07-19,2499,07-2019,2019
2019-07-20,655,07-2019,2019
2019-07-21,714,07-2019,2019
2019-07-22,2188,07-2019,2019
2019-07-23,2762,07-2019,2019
2019-07-24,2543,07-2019,2019
2019-07-25,3006,07-2019,2019
2019-07-26,2310,07-2019,2019
2019-07-27,697,07-2019,2019
2019-07-28,705,07-2019,2019
2019-07-29,2279,07-2019,2019
2019-07-30,2405,07-2019,2019
2019-07-31,2443,07-2019,2019
2019-08-01,2618,08-2019,2019
2019-08-02,2125,08-2019,2019
2019-08-03,875,08-2019,2019
2019-08-04,636,08-2019,2019
2019-08-05,2235,08-2019,2019
2019-08-06,2593,08-2019,2019
2019-08-07,2732,08-2019,2019
2019-08-08,2699,08-2019,2019
2019-08-09,2411,08-2019,2019
2019-08-10,784,08-2019,2019
2019-08-11,854,08-2019,2019
2019-08-12,2494,08-2019,2019
2019-08-13,2507,08-2019,2019
2019-08-14,2774,08-2019,2019
2019-08-15,2473,08-2019,2019
2019-08-16,2377,08-2019,2019
2019-08-17,935,08-2019,2019
2019-08-18,723,08-2019,2019
2019-08-19,2281,08-2019,2019
2019-08-20,2706,08-2019,2019
2019-08-21,3271,08-2019,2019
2019-08-22,2877,08-2019,2019
2019-08-23,2141,08-2019,2019
2019-08-24,652,08-2019,2019
2019-08-25,632,08-2019,2019
2019-08-26,2175,08-2019,2019
2019-08-27,3902,08-2019,2019
2019-08-28,3799,08-2019,2019
2019-08-29,3383,08-2019,2019
2019-08-30,2454,08-2019,2019
2019-08-31,1102,08-2019,2019
2019-09-01,704,09-2019,2019
2019-09-02,1724,09-2019,2019
2019-09-03,2422,09-2019,2019
2019-09-04,2823,09-2019,2019
2019-09-05,3114,09-2019,2019
2019-09-06,2888,09-2019,2019
2019-09-07,1018,09-2019,2019
2019-09-08,739,09-2019,2019
2019-09-09,2444,09-2019,2019
2019-09-10,3029,09-2019,2019
2019-09-11,2942,09-2019,2019
2019-09-12,2847,09-2019,2019
2019-09-13,2476,09-2019,2019
2019-09-14,776,09-2019,2019
2019-09-15,754,09-2019,2019
2019-09-16,2491,09-2019,2019
2019-09-17,2714,09-2019,2019
2019-09-18,2850,09-2019,2019
2019-09-19,2975,09-2019,2019
2019-09-20,2494,09-2019,2019
2019-09-21,869,09-2019,2019
2019-09-22,790,09-2019,2019
2019-09-23,2758,09-2019,2019
2019-09-24,3300,09-2019,2019
2019-09-25,2861,09-2019,2019
2019-09-26,3316,09-2019,2019
2019-09-27,2902,09-2019,2019
2019-09-28,808,09-2019,2019
2019-09-29,805,09-2019,2019
2019-09-30,2356,09-2019,2019
2019-10-01,3162,10-2019,2019
2019-10-02,2775,10-2019,2019
2019-10-03,2711,10-2019,2019
2019-10-04,2646,10-2019,2019
2019-10-05,891,10-2019,2019
2019-10-06,876,10-2019,2019
2019-10-07,2951,10-2019,2019
2019-10-08,3307,10-2019,2019
2019-10-09,3192,10-2019,2019
2019-10-10,3474,10-2019,2019
2019-10-11,2488,10-2019,2019
2019-10-12,786,10-2019,2019
2019-10-13,851,10-2019,2019
