date,profile_id,month_year,year,source
2020-07-14,825,07-2020,2020,DiSC
2020-07-15,786,07-2020,2020,DiSC
2020-07-16,744,07-2020,2020,DiSC
2020-07-17,712,07-2020,2020,DiSC
2020-07-18,539,07-2020,2020,DiSC
2020-07-19,495,07-2020,2020,DiSC
2020-07-20,781,07-2020,2020,DiSC
2020-07-21,762,07-2020,2020,DiSC
2020-07-22,880,07-2020,2020,DiSC
2020-07-23,809,07-2020,2020,DiSC
2020-07-24,699,07-2020,2020,DiSC
2020-07-25,496,07-2020,2020,DiSC
2020-07-26,510,07-2020,2020,DiSC
2020-07-27,719,07-2020,2020,DiSC
2020-07-28,785,07-2020,2020,DiSC
2020-07-29,840,07-2020,2020,DiSC
2020-07-30,775,07-2020,2020,DiSC
2020-07-31,614,07-2020,2020,DiSC
2020-08-01,480,08-2020,2020,DiSC
2020-08-02,495,08-2020,2020,DiSC
2020-08-03,821,08-2020,2020,DiSC
2020-08-04,785,08-2020,2020,DiSC
2020-08-05,820,08-2020,2020,DiSC
2020-08-06,750,08-2020,2020,DiSC
2020-08-07,828,08-2020,2020,DiSC
2020-08-08,558,08-2020,2020,DiSC
2020-08-09,573,08-2020,2020,DiSC
2020-08-10,868,08-2020,2020,DiSC
2020-08-11,937,08-2020,2020,DiSC
2020-08-12,1012,08-2020,2020,DiSC
2020-08-13,741,08-2020,2020,DiSC
2020-08-14,655,08-2020,2020,DiSC
2020-08-15,433,08-2020,2020,DiSC
2020-08-16,425,08-2020,2020,DiSC
2020-08-17,752,08-2020,2020,DiSC
2020-08-18,826,08-2020,2020,DiSC
2020-08-19,873,08-2020,2020,DiSC
2020-08-20,792,08-2020,2020,DiSC
2020-08-21,698,08-2020,2020,DiSC
2020-08-22,486,08-2020,2020,DiSC
2020-08-23,473,08-2020,2020,DiSC
2020-08-24,781,08-2020,2020,DiSC
2020-08-25,808,08-2020,2020,DiSC
2020-08-26,792,08-2020,2020,DiSC
2020-08-27,677,08-2020,2020,DiSC
2020-08-28,723,08-2020,2020,DiSC
2020-08-29,425,08-2020,2020,DiSC
2020-08-30,483,08-2020,2020,DiSC
2020-08-31,807,08-2020,2020,DiSC
2020-09-01,893,09-2020,2020,DiSC
2020-09-02,917,09-2020,2020,DiSC
2020-09-03,849,09-2020,2020,DiSC
2020-09-04,721,09-2020,2020,DiSC
2020-09-05,480,09-2020,2020,DiSC
2020-09-06,475,09-2020,2020,DiSC
2020-09-07,608,09-2020,2020,DiSC
2020-09-08,874,09-2020,2020,DiSC
2020-09-09,916,09-2020,2020,DiSC
2020-09-10,783,09-2020,2020,DiSC
2020-09-11,481,09-2020,2020,DiSC
2020-09-12,237,09-2020,2020,DiSC
2020-09-13,229,09-2020,2020,DiSC
2020-09-14,448,09-2020,2020,DiSC
2020-09-15,484,09-2020,2020,DiSC
2020-09-16,432,09-2020,2020,DiSC
2020-09-17,465,09-2020,2020,DiSC
2020-09-18,402,09-2020,2020,DiSC
2020-09-19,224,09-2020,2020,DiSC
2020-09-20,210,09-2020,2020,DiSC
2020-09-21,550,09-2020,2020,DiSC
2020-09-22,528,09-2020,2020,DiSC
2020-09-23,487,09-2020,2020,DiSC
2020-09-24,472,09-2020,2020,DiSC
2020-09-25,288,09-2020,2020,DiSC
2020-09-26,183,09-2020,2020,DiSC
2020-09-27,214,09-2020,2020,DiSC
2020-09-28,438,09-2020,2020,DiSC
2020-09-29,411,09-2020,2020,DiSC
2020-09-30,358,09-2020,2020,DiSC
2020-10-01,355,10-2020,2020,DiSC
2020-10-02,333,10-2020,2020,DiSC
2020-10-03,178,10-2020,2020,DiSC
2020-10-04,204,10-2020,2020,DiSC
2020-10-05,499,10-2020,2020,DiSC
2020-10-06,482,10-2020,2020,DiSC
2020-10-07,457,10-2020,2020,DiSC
2020-10-08,401,10-2020,2020,DiSC
2020-10-09,373,10-2020,2020,DiSC
2020-10-10,207,10-2020,2020,DiSC
2020-10-11,188,10-2020,2020,DiSC
2020-10-12,340,10-2020,2020,DiSC
2020-10-13,402,10-2020,2020,DiSC
2020-10-14,359,10-2020,2020,DiSC
2020-10-15,323,10-2020,2020,DiSC
2020-10-16,317,10-2020,2020,DiSC
2020-10-17,151,10-2020,2020,DiSC
2020-10-18,159,10-2020,2020,DiSC
2020-10-19,388,10-2020,2020,DiSC
2020-10-20,410,10-2020,2020,DiSC
2020-10-21,418,10-2020,2020,DiSC
2020-10-22,302,10-2020,2020,DiSC
2020-10-23,277,10-2020,2020,DiSC
2020-10-24,150,10-2020,2020,DiSC
2020-10-25,151,10-2020,2020,DiSC
2020-10-26,338,10-2020,2020,DiSC
2020-10-27,308,10-2020,2020,DiSC
2020-10-28,356,10-2020,2020,DiSC
2020-10-29,304,10-2020,2020,DiSC
